host,message,timestamp,level,error_type
600a0c2a69e87ece,[167 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-03-31 21:00:04+00:00,LOG,missed dose
600a0c2a69e8e93a,[105 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-03-31 21:00:04+00:00,LOG,missed dose
600a0c2a69e87f4e,[158 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-03-31 21:00:03+00:00,LOG,missed dose
600a0c2a69e87e76,[156 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-03-31 21:00:02+00:00,LOG,missed dose
600a0c2a69e87e32,[165 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-03-31 21:00:00+00:00,LOG,missed dose
600a0c2a69e87e32,[33 kB] Ending post-administration with all sachets returned.,2025-03-31 20:52:18+00:00,LOG,post-admin
600a0c2a69e87e32,[33 kB] Ending post-administration with no action.,2025-03-31 20:51:52+00:00,LOG,post-admin
600a0c2a69e87ece,[31 kB] Ending post-administration with no action.,2025-03-31 20:38:09+00:00,LOG,post-admin
600a0c2a69e87ece,[32 kB] Ending post-administration with all sachets returned.,2025-03-31 20:37:59+00:00,LOG,post-admin
600a0c2a69e87f4e,[33 kB] Ending post-administration with all sachets returned.,2025-03-31 20:34:13+00:00,LOG,post-admin
600a0c2a69e8eaa0,[114 kB] Teams: Sending teams message: 🪫 Running on low battery.,2025-03-31 20:20:30+00:00,LOG,low battery
600a0c2a69e87e46,[234 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-03-31 20:00:02+00:00,LOG,missed dose
600a0c2a69e87e76,"[162 kB] Teams: Sending teams message: ❗ Device is out of sync.
'2' sachets were returned but only '1' were pushed out during administering.",2025-03-31 19:55:43+00:00,LOG,out of sync
600a0c2a69e8eaa6,[111 kB] Teams: Sending teams message: 🔋 Running on battery.,2025-03-31 19:52:22+00:00,LOG,running on battery
600a0c2a69e87e46,"[216 kB] Teams: Sending teams message: ❗ Device is out of sync.
Roller: Preload. No sachets detected in the roller.",2025-03-31 19:47:45+00:00,LOG,out of sync
600a0c2a69e87e92,"[190 kB] Teams: Sending teams message: 🚨 Error alert is active.
Roller: Aligning. Sachet edge not found after loading '4' sachets",2025-03-31 19:44:09+00:00,Error,out of sync
600a0c2a69e87e92,[36 kB] Roller: Aligning. Sachet edge not found after loading '4' sachets,2025-03-31 19:44:06+00:00,ERROR,out of sync
600a0c2a69e87f44,[33 kB] Ending post-administration with all '1' sachets administered.,2025-03-31 19:35:33+00:00,LOG,post-admin
600a0c2a69e8e8a0,[85 kB] Teams: Sending teams message: ⏳ Pre-administration is 23.62 hours early.,2025-03-31 18:22:50+00:00,LOG,pre_admin
600a0c2a69e87e14,[33 kB] Ending post-administration with all '1' sachets administered.,2025-03-31 18:21:33+00:00,LOG,post-admin
600a0c2a69e8e67c,[94 kB] Teams: Sending teams message: ⏳ Pre-administration is 13.73 hours early.,2025-03-31 18:16:09+00:00,LOG,pre_admin
600a0c2a69e87e32,[32 kB] Ending post-administration with all '1' sachets administered.,2025-03-31 18:05:03+00:00,LOG,post-admin
600a0c2a69e87f4e,[32 kB] Ending post-administration with all '1' sachets administered.,2025-03-31 17:41:38+00:00,LOG,post-admin
600a0c2a69e87ec6,[135 kB] Teams: Sending teams message: ⏳ Pre-administration is 14.98 hours early.,2025-03-31 17:01:28+00:00,LOG,pre_admin
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-03-31 17:00:01+00:00,LOG,missed dose
600a0c2a69e87e46,[237 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-03-31 17:00:00+00:00,LOG,missed dose
